change_type,count,percentage
Detection,9647,28.024052986288634
Logsource,1253,3.639902393678829
Tags,6597,19.163955379967465
References,3141,9.124448059493377
False Positives,1801,5.23181501278178
Metadata,7295,21.191610504299327
